fruit_name,category,calories_per_100g,vitamin_c_mg,fiber_g,sugar_g,water_content_percent,antioxidant_score,seasonal_availability,storage_days,price_range,popularity_score
apple,pome,52,4.6,2.4,10.4,85.6,65,autumn-winter,30,low,95
banana,tropical,89,8.7,2.6,12.2,74.9,58,year-round,7,low,92
orange,citrus,47,53.2,2.4,9.4,86.8,78,winter-spring,14,low,88
strawberry,berry,32,58.8,2,4.9,90.9,85,spring-summer,3,medium,90
grape,berry,62,3.2,0.9,16.3,81.3,72,autumn,7,medium,85
watermelon,melon,30,8.1,0.4,6.2,91.5,45,summer,14,low,87
pear,pome,57,4.3,3.1,9.8,83.7,62,autumn,21,low,82
peach,stone,39,6.6,1.5,8.4,88.9,68,summer,5,medium,84
cherry,stone,63,7,2.1,12.8,82.3,75,summer,3,high,88
kiwi,exotic,61,92.7,3,9,83.1,88,autumn-winter,21,medium,78
mango,tropical,60,36.4,1.6,13.7,83.5,82,summer,7,medium,86
pineapple,tropical,50,47.8,1.4,9.9,86,79,year-round,5,medium,83
blueberry,berry,57,9.7,2.4,10,84.2,92,summer,10,high,89
raspberry,berry,52,26.2,6.5,4.4,85.8,88,summer,2,high,85
blackberry,berry,43,21,5.3,4.9,88.2,85,summer,3,high,82
grapefruit,citrus,42,31.2,1.6,6.9,88.1,75,winter,21,low,76
lemon,citrus,29,51,2.8,1.5,88.9,68,year-round,30,low,74
lime,citrus,30,29.1,2.8,1.7,88.3,65,year-round,21,low,72
plum,stone,46,9.5,1.4,9.9,87.2,70,summer,7,medium,80
apricot,stone,48,10,2,9.2,86.4,72,summer,5,medium,78
cantaloup,melon,34,36.7,0.9,7.9,90.2,52,summer,7,low,81
honeydew,melon,36,18,0.8,8.1,89.8,48,summer,14,low,79
coconut,tropical,354,3.3,9,6.2,47,55,year-round,60,medium,75
papaya,tropical,43,60.9,1.7,7.8,88.1,78,year-round,7,medium,77
passion_fruit,exotic,97,30,10.4,11.2,72.9,85,summer,7,high,76
dragon_fruit,exotic,60,20.5,2.9,7.7,87,72,summer,5,high,74
star_fruit,exotic,31,34.4,2.8,3.9,91.4,68,year-round,7,high,73
fig,exotic,74,2,2.9,16.3,79.1,65,autumn,3,high,75
pomegranate,exotic,83,10.2,4,13.7,77.9,88,autumn,60,high,78
avocado,exotic,160,10,6.7,0.7,73.2,75,year-round,7,high,82
durian,tropical,147,19.7,3.8,27.1,65,58,summer,3,very_high,65
lychee,tropical,66,71.5,1.3,15.2,81.8,72,summer,5,high,76
rambutan,tropical,82,4.9,0.9,20.9,78,68,summer,3,high,72
longan,tropical,60,84,1.1,15.1,82.8,70,summer,7,high,74
jackfruit,tropical,95,13.7,1.5,19.1,73.5,65,summer,5,medium,73
guava,tropical,68,228.3,5.4,8.9,80.8,92,year-round,7,medium,79
tamarind,tropical,239,3.5,5.1,57.4,31.4,62,year-round,180,medium,71
date,dried,277,0.4,6.7,66.5,21.3,58,year-round,365,medium,76
prune,dried,240,0.6,7.1,38.1,30.9,68,year-round,180,medium,74
raisin,dried,299,2.3,3.7,59.2,15.4,65,year-round,365,low,78
cranberry,berry,46,13.3,4.6,4,87.1,82,autumn,21,medium,77
gooseberry,berry,44,27.7,4.3,0,87.9,78,summer,7,high,73
elderberry,berry,73,36,7,0,79.8,85,autumn,3,high,71
mulberry,berry,43,36.4,1.7,8.1,87.7,75,summer,2,high,72
currant,berry,56,41,4.3,7.4,83.9,80,summer,7,high,74
quince,pome,57,15,1.9,12.8,83.8,62,autumn,60,medium,70
persimmon,exotic,70,7.5,3.6,12.5,80.3,68,autumn,7,medium,76
pomelo,citrus,38,61,1,5.9,89.1,72,winter,21,medium,75
tangerine,citrus,53,26.7,1.8,10.6,85.2,70,winter,14,low,83
clementine,citrus,47,48.8,1.7,9.2,86.6,72,winter,14,low,81
mandarin,citrus,53,26.7,1.8,10.6,85.2,70,winter,14,low,82
blood_orange,citrus,47,53.2,2.4,9.4,86.8,82,winter,14,medium,79
bergamot,citrus,36,104,0,0,89,75,winter,21,high,68
yuzu,citrus,53,40,0,0,88,78,winter,30,very_high,69
calamansi,citrus,37,27,0,0,90,72,year-round,14,high,70